surrogates drawn from the published NANOGrav 15 yr noise posteriors

  pulsar           nTOA  max|S/N|  null 95%        p
libstempo not installed. PINT or libstempo are required to use par and tim files.
  B1855+09         7758     73.61    534.81   0.7612 
  B1937+21        23023   8391.59  27271.99   0.6318 
  B1937+21ao       7241   4940.87  17684.45   0.6318 
  B1937+21gbt     16048   4883.61  10489.89   0.3831 
  B1953+29         5126      9.02     88.19   0.8806 
  J0023+0923      15896      0.31     17.84   1.0000 
  J0030+0451      19571     50.55    319.67   0.6617 
  J0340+4130      11093      0.49      3.18   0.9801 
  J0613-0200      17124     73.30    288.58   0.5124 
  J0636+5128      32222      0.36     10.53   0.9900 
  J0645+5158      10403      1.68     66.84   0.9851 
  J0740+6620      13401      1.48      5.09   0.7065 
  J0931-1902       5473      0.18      4.18   1.0000 
  J1012+5307      25837     41.17     92.36   0.4527 
  J1022+1001       3978     19.94    103.16   0.8905 
  J1024-0719      12635      0.21     10.75   1.0000 
  J1125+7819       8723     12.69     23.80   0.4876 
  J1453+1902       2551      3.30      9.50   0.5075 
  J1455-3330      10818      1.05     22.00   0.9552 
  J1600-3053      22955      8.79     67.98   0.8358 
  J1600-3053gbt   19725      7.57     61.29   0.9055 
  J1614-2230      18445     14.30     54.36   0.4677 
  J1640+2224      14066     10.29     42.26   0.5771 
  J1643-1224      17932     21.24    188.73   0.9701 
  J1643-1224gbt   17932     23.99    200.07   0.9453 
  J1713+0747      32963     97.24    310.76   0.5174 
  J1713+0747ao    21362    161.45    325.77   0.2537 
  J1713+0747gbt   32963    103.59    564.84   0.7164 
  J1738+0333       8790      0.73    143.51   1.0000 
  J1741+1351       5582      2.72     33.34   0.9502 
  J1744-1134      17745    113.53    743.98   0.6169 
  J1747-4036      11055     31.48    202.48   0.6368 
  J1832-0836       7739      0.24     19.34   1.0000 
  J1853+1303       4570     10.53     52.39   0.5174 
  J1903+0327       6856     63.38    277.73   0.7313 
  J1903+0327ao     6423     68.23    357.18   0.8010 
  J1909-3744      35037    184.80   1520.03   0.7761 
  J1909-3744gbt   31526    199.71   1135.84   0.6766 
  J1910+1256       6486      1.96     43.66   0.9602 
  J1911+1347       3786      0.23     13.22   1.0000 
  J1918-0642      18875      0.93     85.47   1.0000 
  J1923+2515       3974      1.32     11.15   0.7910 
  J1944+0907       5328      3.90     78.26   0.8607 
  J1946+3417       4743     21.64     88.16   0.5622 
  J2010-1323      17077      1.22     14.20   0.7811 
  J2017+0603       3512      0.21      7.28   1.0000 
  J2033+1734       3847      1.51      8.74   0.7612 
  J2043+1711       7397      2.03     49.82   0.9055 
  J2145-0750      18675     79.36    111.05   0.2040 
  J2214+3000       7406      0.17     26.36   1.0000 
  J2229+2643       3711      2.08     10.47   0.7065 
  J2234+0611       3566      9.04     49.19   0.7313 
  J2234+0944       7535      0.24     15.80   1.0000 
  J2302+4442      10211      0.49      4.71   0.9950 
  J2317+1439      13927      4.60     62.93   0.9453 
  J2322+2057       3088      0.28      4.74   1.0000 

=== null calibration ===
  56 pulsars   median p = 0.796 (uniform expects 0.500)
  KS vs uniform: D = 0.403, p = 0.0000 -> NOT uniform
  p<0.05: 0 (expect 2.8)  Bonferroni 0.00089  min p 0.2040

saved ~/ng_post.json
